filename, language, JSON, JavaScript, Markdown, HTML, CSS, comment, blank, total
a:\Javascripts\ReactJS\job-app\README.md, Markdown, 0, 0, 37, 0, 0, 0, 32, 69
a:\Javascripts\ReactJS\job-app\api\index.js, JavaScript, 0, 13, 0, 0, 0, 0, 5, 18
a:\Javascripts\ReactJS\job-app\client\package-lock.json, JSON, 14294, 0, 0, 0, 0, 0, 1, 14295
a:\Javascripts\ReactJS\job-app\client\package.json, JSON, 36, 0, 0, 0, 0, 0, 1, 37
a:\Javascripts\ReactJS\job-app\client\public\index.html, HTML, 0, 0, 0, 20, 0, 23, 1, 44
a:\Javascripts\ReactJS\job-app\client\public\manifest.json, JSON, 25, 0, 0, 0, 0, 0, 1, 26
a:\Javascripts\ReactJS\job-app\client\src\App.css, CSS, 0, 0, 0, 0, 36, 0, 5, 41
a:\Javascripts\ReactJS\job-app\client\src\App.js, JavaScript, 0, 21, 0, 0, 0, 106, 29, 156
a:\Javascripts\ReactJS\job-app\client\src\Components\Job.js, JavaScript, 0, 25, 0, 0, 0, 15, 12, 52
a:\Javascripts\ReactJS\job-app\client\src\Components\JobModel.js, JavaScript, 0, 49, 0, 0, 0, 0, 6, 55
a:\Javascripts\ReactJS\job-app\client\src\Components\Jobs.js, JavaScript, 0, 104, 0, 0, 0, 31, 26, 161
a:\Javascripts\ReactJS\job-app\client\src\index.css, CSS, 0, 0, 0, 0, 12, 0, 2, 14
a:\Javascripts\ReactJS\job-app\client\src\index.js, JavaScript, 0, 5, 0, 0, 0, 0, 2, 7
a:\Javascripts\ReactJS\job-app\package-lock.json, JSON, 425, 0, 0, 0, 0, 0, 1, 426
a:\Javascripts\ReactJS\job-app\package.json, JSON, 18, 0, 0, 0, 0, 0, 1, 19
a:\Javascripts\ReactJS\job-app\worker\index.js, JavaScript, 0, 8, 0, 0, 0, 0, 3, 11
a:\Javascripts\ReactJS\job-app\worker\tasks\fetch-github.js, JavaScript, 0, 35, 0, 0, 0, 13, 12, 60
a:\Javascripts\ReactJS\job-app\worker\tasks\tryScr.js, JavaScript, 0, 5, 0, 0, 0, 0, 1, 6
Total, -, 14798, 265, 37, 20, 48, 188, 141, 15497